1989
"{'ACC': 0.34522613065326635, 'macro_f_score': 0.34448306468962697, 'AUC': 0.29727784651902733}"
"{'ACC': 0.498989898989899, 'macro_f_score': 0.33288409703504046, 'AUC': 0.25341497159461934}"
"{'ACC': 0.6736040609137056, 'macro_f_score': 0.672487993432747, 'AUC': 0.7416118312553599}"
"{'ACC': 0.628061224489796, 'macro_f_score': 0.5828904636447896, 'AUC': 0.8287726576036252}"
"{'ACC': 0.7528205128205128, 'macro_f_score': 0.7518491842890092, 'AUC': 0.8303388090349078}"
"{'ACC': 0.6319587628865979, 'macro_f_score': 0.6317517235218866, 'AUC': 0.6913464645262227}"
"{'ACC': 0.5948186528497409, 'macro_f_score': 0.5942221161126024, 'AUC': 0.6247400934804276}"
"{'ACC': 0.6125, 'macro_f_score': 0.5951015817478251, 'AUC': 0.6641326714448819}"
"{'ACC': 0.6240837696335079, 'macro_f_score': 0.6150875313935303, 'AUC': 0.6777674677757597}"
"{'ACC': 0.6689473684210526, 'macro_f_score': 0.6633497418995908, 'AUC': 0.7321860321774962}"
"{'ACC': 0.6158730158730159, 'macro_f_score': 0.5893886345273364, 'AUC': 0.6699318316040025}"
"{'ACC': 0.5840425531914893, 'macro_f_score': 0.5314231075697211, 'AUC': 0.6334650972821279}"
